sample_id,category,dice,precision,recall,gt_pixels,pred_pixels,overlay
581b6a97da2181f5,negative_clean,1.0,1.0,1.0,0,0,C:\Users\16024\Desktop\齿镜\calculus-unetpp\artifacts\v2_error_analysis\overlays\negative_clean__581b6a97da2181f5.jpg
583057ba61961671,acceptable,0.419595,0.281297,0.825567,6523,19146,C:\Users\16024\Desktop\齿镜\calculus-unetpp\artifacts\v2_error_analysis\overlays\acceptable__583057ba61961671.jpg
59124bb90106173f,negative_clean,1.0,1.0,1.0,0,0,C:\Users\16024\Desktop\齿镜\calculus-unetpp\artifacts\v2_error_analysis\overlays\negative_clean__59124bb90106173f.jpg
5bbe7e15165065e2,negative_clean,1.0,1.0,1.0,0,0,C:\Users\16024\Desktop\齿镜\calculus-unetpp\artifacts\v2_error_analysis\overlays\negative_clean__5bbe7e15165065e2.jpg
5d6661d9748070c5,negative_clean,0.009804,0.009804,1.0,0,101,C:\Users\16024\Desktop\齿镜\calculus-unetpp\artifacts\v2_error_analysis\overlays\negative_clean__5d6661d9748070c5.jpg
620abdbc4296343e,false_positive,0.000848,0.000848,1.0,0,1178,C:\Users\16024\Desktop\齿镜\calculus-unetpp\artifacts\v2_error_analysis\overlays\false_positive__620abdbc4296343e.jpg
6239584a49c6d934,negative_clean,1.0,1.0,1.0,0,0,C:\Users\16024\Desktop\齿镜\calculus-unetpp\artifacts\v2_error_analysis\overlays\negative_clean__6239584a49c6d934.jpg
640679343997627e,negative_clean,1.0,1.0,1.0,0,0,C:\Users\16024\Desktop\齿镜\calculus-unetpp\artifacts\v2_error_analysis\overlays\negative_clean__640679343997627e.jpg
6511acbec1e8a660,negative_clean,1.0,1.0,1.0,0,0,C:\Users\16024\Desktop\齿镜\calculus-unetpp\artifacts\v2_error_analysis\overlays\negative_clean__6511acbec1e8a660.jpg
6531a149a5f73722,false_negative,0.000285,1.0,0.000285,3506,0,C:\Users\16024\Desktop\齿镜\calculus-unetpp\artifacts\v2_error_analysis\overlays\false_negative__6531a149a5f73722.jpg
65d4d62ace7a7337,acceptable,0.510774,0.365052,0.850264,6063,14123,C:\Users\16024\Desktop\齿镜\calculus-unetpp\artifacts\v2_error_analysis\overlays\acceptable__65d4d62ace7a7337.jpg
6864b52aed5d1671,false_negative,0.000429,1.0,0.000429,2329,0,C:\Users\16024\Desktop\齿镜\calculus-unetpp\artifacts\v2_error_analysis\overlays\false_negative__6864b52aed5d1671.jpg
6cdc9a67c1dfeeca,acceptable,0.567015,0.44228,0.789834,6727,12014,C:\Users\16024\Desktop\齿镜\calculus-unetpp\artifacts\v2_error_analysis\overlays\acceptable__6cdc9a67c1dfeeca.jpg
6d38d06888e08a14,negative_clean,1.0,1.0,1.0,0,0,C:\Users\16024\Desktop\齿镜\calculus-unetpp\artifacts\v2_error_analysis\overlays\negative_clean__6d38d06888e08a14.jpg
